Trial,nBack,Degradation,Image,RT,Accuracy,Race,Gender,SubRace,SubGender
1,2,1,CFD-WF-012-002-N_degraded.jpg,NaN,1,White,Female,White,Male
1,2,1,CFD-LF-203-066-N_degraded.jpg,NaN,1,Latino,Female,White,Male
1,2,1,CFD-AF-217-155-N_degraded.jpg,NaN,1,Asian,Female,White,Male
1,2,1,CFD-WM-245-123-N_degraded.jpg,NaN,1,White,Male,White,Male
1,2,1,CFD-BM-244-197-N_degraded.jpg,NaN,1,Black,Male,White,Male
1,2,1,CFD-WM-245-123-N_degraded.jpg,0.535306445002789,1,White,Male,White,Male
1,2,1,CFD-WM-245-123-N_degraded.jpg,NaN,1,White,Male,White,Male
1,2,1,CFD-WM-245-123-N_degraded.jpg,NaN,0,White,Male,White,Male
1,2,1,CFD-BF-228-212-N_degraded.jpg,NaN,1,Black,Female,White,Male
1,2,1,CFD-AM-218-085-N_degraded.jpg,NaN,1,Asian,Male,White,Male
2,2,1,CFD-AM-212-050-N_degraded.jpg,NaN,1,Asian,Male,White,Male
2,2,1,CFD-BF-239-180-N_degraded.jpg,NaN,1,Black,Female,White,Male
2,2,1,CFD-AM-208-143-N_degraded.jpg,NaN,1,Asian,Male,White,Male
2,2,1,CFD-WF-204-038-N_degraded.jpg,NaN,1,White,Female,White,Male
2,2,1,CFD-AM-208-143-N_degraded.jpg,0.560865342995385,1,Asian,Male,White,Male
2,2,1,CFD-WF-204-038-N_degraded.jpg,NaN,0,White,Female,White,Male
2,2,1,CFD-BF-231-202-N_degraded.jpg,NaN,1,Black,Female,White,Male
2,2,1,CFD-BF-207-004-N_degraded.jpg,NaN,1,Black,Female,White,Male
2,2,1,CFD-BF-231-202-N_degraded.jpg,0.564279630008969,1,Black,Female,White,Male
2,2,1,CFD-AF-203-077-N_degraded.jpg,NaN,1,Asian,Female,White,Male
3,2,1,CFD-WF-232-161-N_degraded.jpg,NaN,1,White,Female,White,Male
3,2,1,CFD-LM-237-264-N_degraded.jpg,NaN,1,Latino,Male,White,Male
3,2,1,CFD-LM-217-162-N_degraded.jpg,NaN,1,Latino,Male,White,Male
3,2,1,CFD-AM-220-134-N_degraded.jpg,NaN,1,Asian,Male,White,Male
3,2,1,CFD-LF-215-157-N_degraded.jpg,NaN,1,Latino,Female,White,Male
3,2,1,CFD-WM-032-001-N_degraded.jpg,NaN,1,White,Male,White,Male
3,2,1,CFD-LF-215-157-N_degraded.jpg,0.549754577994463,1,Latino,Female,White,Male
3,2,1,CFD-WM-032-001-N_degraded.jpg,NaN,0,White,Male,White,Male
3,2,1,CFD-LF-215-157-N_degraded.jpg,0.558716982995975,1,Latino,Female,White,Male
3,2,1,CFD-LF-230-203-N_degraded.jpg,NaN,1,Latino,Female,White,Male
4,2,1,CFD-AM-234-355-N_degraded.jpg,NaN,1,Asian,Male,White,Male
4,2,1,CFD-AF-220-107-N_degraded.jpg,NaN,1,Asian,Female,White,Male
4,2,1,CFD-BM-227-191-N_degraded.jpg,NaN,1,Black,Male,White,Male
4,2,1,CFD-AF-220-107-N_degraded.jpg,0.510849605998374,1,Asian,Female,White,Male
4,2,1,CFD-BM-227-191-N_degraded.jpg,0.855379362998065,1,Black,Male,White,Male
4,2,1,CFD-AF-211-066-N_degraded.jpg,NaN,1,Asian,Female,White,Male
4,2,1,CFD-BM-234-172-N_degraded.jpg,NaN,1,Black,Male,White,Male
4,2,1,CFD-AF-211-066-N_degraded.jpg,0.637660455002333,1,Asian,Female,White,Male
4,2,1,CFD-WM-028-003-N_degraded.jpg,NaN,1,White,Male,White,Male
4,2,1,CFD-AM-246-184-N_degraded.jpg,NaN,1,Asian,Male,White,Male
5,2,1,CFD-WF-029-002-N_degraded.jpg,NaN,1,White,Female,White,Male
5,2,1,CFD-BM-228-145-N_degraded.jpg,NaN,1,Black,Male,White,Male
5,2,1,CFD-BM-046-006-N_degraded.jpg,NaN,1,Black,Male,White,Male
5,2,1,CFD-WM-020-001-N_degraded.jpg,NaN,1,White,Male,White,Male
5,2,1,CFD-BM-046-006-N_degraded.jpg,NaN,0,Black,Male,White,Male
5,2,1,CFD-WM-020-001-N_degraded.jpg,0.663833426995552,1,White,Male,White,Male
5,2,1,CFD-LM-241-125-N_degraded.jpg,NaN,1,Latino,Male,White,Male
5,2,1,CFD-BM-046-006-N_degraded.jpg,0.589127712999471,0,Black,Male,White,Male
