Trial,nBack,Degradation,Image,RT,Accuracy,Race,Gender,SubRace,SubGender
1,2,0,CFD-WF-003-003-N.jpg,NaN,1,White,Female,Latino,Female
1,2,0,CFD-WF-001-003-N.jpg,NaN,1,White,Female,Latino,Female
1,2,0,CFD-WF-003-003-N.jpg,0.671548071011784,1,White,Female,Latino,Female
1,2,0,CFD-BM-046-006-N.jpg,NaN,1,Black,Male,Latino,Female
1,2,0,CFD-LF-222-147-N.jpg,NaN,1,Latino,Female,Latino,Female
1,2,0,CFD-AF-236-145-N.jpg,NaN,1,Asian,Female,Latino,Female
1,2,0,CFD-LF-222-147-N.jpg,NaN,0,Latino,Female,Latino,Female
1,2,0,CFD-AF-228-173-N.jpg,NaN,1,Asian,Female,Latino,Female
1,2,0,CFD-LF-222-147-N.jpg,NaN,0,Latino,Female,Latino,Female
1,2,0,CFD-LF-207-198-N.jpg,NaN,1,Latino,Female,Latino,Female
2,2,0,CFD-LF-224-176-N.jpg,NaN,1,Latino,Female,Latino,Female
2,2,0,CFD-BM-234-172-N.jpg,NaN,1,Black,Male,Latino,Female
2,2,0,CFD-LF-224-176-N.jpg,0.834384103000048,1,Latino,Female,Latino,Female
2,2,0,CFD-AF-211-066-N.jpg,NaN,1,Asian,Female,Latino,Female
2,2,0,CFD-BF-231-202-N.jpg,NaN,1,Black,Female,Latino,Female
2,2,0,CFD-AF-211-066-N.jpg,0.898399976998917,1,Asian,Female,Latino,Female
2,2,0,CFD-BF-231-202-N.jpg,0.922794233993045,1,Black,Female,Latino,Female
2,2,0,CFD-AM-214-168-N.jpg,NaN,1,Asian,Male,Latino,Female
2,2,0,CFD-WF-014-002-N.jpg,NaN,1,White,Female,Latino,Female
2,2,0,CFD-BF-220-161-N.jpg,NaN,1,Black,Female,Latino,Female
3,2,0,CFD-BF-204-189-N.jpg,NaN,1,Black,Female,Latino,Female
3,2,0,CFD-LM-212-143-N.jpg,NaN,1,Latino,Male,Latino,Female
3,2,0,CFD-BF-204-189-N.jpg,0.784571438009152,1,Black,Female,Latino,Female
3,2,0,CFD-LM-224-162-N.jpg,NaN,1,Latino,Male,Latino,Female
3,2,0,CFD-LM-246-087-N.jpg,NaN,1,Latino,Male,Latino,Female
