Trial,nBack,Degradation,Image,RT,Accuracy,Race,Gender,SubRace,SubGender
1,1,1,CFD-LM-220-329-N_degraded.jpg,NaN,1,Latino,Male,White,Male
1,1,1,CFD-LM-220-329-N_degraded.jpg,0.468368543999532,1,Latino,Male,White,Male
1,1,1,CFD-LM-220-329-N_degraded.jpg,0.509723520997795,1,Latino,Male,White,Male
1,1,1,CFD-BM-237-188-N_degraded.jpg,NaN,1,Black,Male,White,Male
1,1,1,CFD-LF-243-175-N_degraded.jpg,NaN,1,Latino,Female,White,Male
1,1,1,CFD-AM-242-176-N_degraded.jpg,NaN,1,Asian,Male,White,Male
1,1,1,CFD-AM-220-134-N_degraded.jpg,NaN,1,Asian,Male,White,Male
1,1,1,CFD-WF-027-003-N_degraded.jpg,NaN,1,White,Female,White,Male
1,1,1,CFD-WF-002-004-N_degraded.jpg,NaN,1,White,Female,White,Male
1,1,1,CFD-WF-002-004-N_degraded.jpg,0.581374239001889,1,White,Female,White,Male
2,1,1,CFD-AF-244-168-N_degraded.jpg,NaN,1,Asian,Female,White,Male
2,1,1,CFD-BM-241-235-N_degraded.jpg,NaN,1,Black,Male,White,Male
2,1,1,CFD-BM-241-235-N_degraded.jpg,0.599843979998695,1,Black,Male,White,Male
2,1,1,CFD-AM-227-184-N_degraded.jpg,NaN,1,Asian,Male,White,Male
2,1,1,CFD-AM-227-184-N_degraded.jpg,NaN,0,Asian,Male,White,Male
2,1,1,CFD-WM-006-002-N_degraded.jpg,NaN,1,White,Male,White,Male
2,1,1,CFD-WM-257-161-N_degraded.jpg,NaN,1,White,Male,White,Male
2,1,1,CFD-AF-223-183-N_degraded.jpg,NaN,1,Asian,Female,White,Male
2,1,1,CFD-AF-223-183-N_degraded.jpg,0.512908966997202,1,Asian,Female,White,Male
2,1,1,CFD-LF-217-082-N_degraded.jpg,NaN,1,Latino,Female,White,Male
3,1,1,CFD-BF-233-116-N_degraded.jpg,NaN,1,Black,Female,White,Male
3,1,1,CFD-BF-233-116-N_degraded.jpg,0.46898828600024,1,Black,Female,White,Male
3,1,1,CFD-AM-233-236-N_degraded.jpg,NaN,1,Asian,Male,White,Male
3,1,1,CFD-LF-202-065-N_degraded.jpg,NaN,1,Latino,Female,White,Male
3,1,1,CFD-LF-202-065-N_degraded.jpg,0.626473721000366,1,Latino,Female,White,Male
3,1,1,CFD-WM-012-001-N_degraded.jpg,NaN,1,White,Male,White,Male
3,1,1,CFD-WM-012-001-N_degraded.jpg,0.661068231001991,1,White,Male,White,Male
3,1,1,CFD-LF-243-175-N_degraded.jpg,NaN,1,Latino,Female,White,Male
3,1,1,CFD-AF-245-143-N_degraded.jpg,NaN,1,Asian,Female,White,Male
3,1,1,CFD-BM-201-077-N_degraded.jpg,NaN,1,Black,Male,White,Male
4,1,1,CFD-WM-257-161-N_degraded.jpg,NaN,1,White,Male,White,Male
4,1,1,CFD-WF-024-003-N_degraded.jpg,NaN,1,White,Female,White,Male
4,1,1,CFD-BM-239-136-N_degraded.jpg,NaN,1,Black,Male,White,Male
4,1,1,CFD-WM-006-002-N_degraded.jpg,NaN,1,White,Male,White,Male
4,1,1,CFD-AM-205-153-N_degraded.jpg,NaN,1,Asian,Male,White,Male
4,1,1,CFD-BM-201-077-N_degraded.jpg,NaN,1,Black,Male,White,Male
4,1,1,CFD-BM-201-077-N_degraded.jpg,0.517265328999201,1,Black,Male,White,Male
