Trial,nBack,Degradation,Image,RT,Accuracy,Race,Gender
1,2,1,CFD-BF-209-172-N_degraded.jpg,NaN,1,Black,Female
1,2,1,CFD-BF-211-168-N_degraded.jpg,NaN,1,Black,Female
1,2,1,CFD-BF-209-172-N_degraded.jpg,NaN,0,Black,Female
1,2,1,CFD-WM-001-014-N_degraded.jpg,NaN,1,White,Male
1,2,1,CFD-BM-224-073-N_degraded.jpg,NaN,1,Black,Male
1,2,1,CFD-LM-248-089-N_degraded.jpg,NaN,1,Latino,Male
1,2,1,CFD-LF-234-139-N_degraded.jpg,0.664322583004832,0,Latino,Female
1,2,1,CFD-LM-248-089-N_degraded.jpg,0.560183397989022,1,Latino,Male
1,2,1,CFD-LM-248-089-N_degraded.jpg,0.543832482013386,0,Latino,Male
1,2,1,CFD-WF-009-001-N_degraded.jpg,NaN,1,White,Female
2,2,1,CFD-AF-227-207-N_degraded.jpg,NaN,1,Asian,Female
2,2,1,CFD-BM-233-285-N_degraded.jpg,NaN,1,Black,Male
2,2,1,CFD-AF-227-207-N_degraded.jpg,0.408086999988882,1,Asian,Female
2,2,1,CFD-BF-227-137-N_degraded.jpg,NaN,1,Black,Female
2,2,1,CFD-LF-244-096-N_degraded.jpg,NaN,1,Latino,Female
2,2,1,CFD-BF-227-137-N_degraded.jpg,0.619895503012231,1,Black,Female
2,2,1,CFD-BF-227-137-N_degraded.jpg,NaN,1,Black,Female
2,2,1,CFD-AM-239-147-N_degraded.jpg,NaN,1,Asian,Male
2,2,1,CFD-LF-225-164-N_degraded.jpg,NaN,1,Latino,Female
2,2,1,CFD-LF-233-277-N_degraded.jpg,NaN,1,Latino,Female
3,2,1,CFD-LF-204-133-N_degraded.jpg,NaN,1,Latino,Female
3,2,1,CFD-BM-211-174-N_degraded.jpg,NaN,1,Black,Male
3,2,1,CFD-LF-204-133-N_degraded.jpg,0.466014903009636,1,Latino,Female
3,2,1,CFD-AF-247-278-N_degraded.jpg,NaN,1,Asian,Female
3,2,1,CFD-BM-230-232-N_degraded.jpg,NaN,1,Black,Male
3,2,1,CFD-BM-226-276-N_degraded.jpg,NaN,1,Black,Male
3,2,1,CFD-BM-230-232-N_degraded.jpg,0.465467346977675,1,Black,Male
3,2,1,CFD-LF-215-157-N_degraded.jpg,NaN,1,Latino,Female
3,2,1,CFD-BM-230-232-N_degraded.jpg,0.928061712998897,1,Black,Male
3,2,1,CFD-WF-018-017-N_degraded.jpg,NaN,1,White,Female
4,2,1,CFD-AM-237-154-N_degraded.jpg,NaN,1,Asian,Male
4,2,1,CFD-BM-231-155-N_degraded.jpg,NaN,1,Black,Male
4,2,1,CFD-WM-204-031-N_degraded.jpg,NaN,1,White,Male
4,2,1,CFD-BM-231-155-N_degraded.jpg,0.520812270988245,1,Black,Male
4,2,1,CFD-WF-015-006-N_degraded.jpg,NaN,1,White,Female
4,2,1,CFD-BM-226-276-N_degraded.jpg,0.744354669994209,0,Black,Male
4,2,1,CFD-WF-015-006-N_degraded.jpg,0.743678788014222,1,White,Female
4,2,1,CFD-WF-015-006-N_degraded.jpg,NaN,1,White,Female
4,2,1,CFD-BF-229-179-N_degraded.jpg,NaN,1,Black,Female
4,2,1,CFD-AF-229-160-N_degraded.jpg,NaN,1,Asian,Female
5,2,1,CFD-BM-218-132-N_degraded.jpg,NaN,1,Black,Male
5,2,1,CFD-AM-217-085-N_degraded.jpg,NaN,1,Asian,Male
5,2,1,CFD-LM-248-089-N_degraded.jpg,NaN,1,Latino,Male
5,2,1,CFD-BF-242-154-N_degraded.jpg,NaN,1,Black,Female
5,2,1,CFD-WM-025-002-N_degraded.jpg,NaN,1,White,Male
5,2,1,CFD-BF-242-154-N_degraded.jpg,0.457429421017878,1,Black,Female
5,2,1,CFD-WM-025-002-N_degraded.jpg,NaN,0,White,Male
5,2,1,CFD-BF-242-154-N_degraded.jpg,0.616859700996429,1,Black,Female
5,2,1,CFD-AF-214-139-N_degraded.jpg,NaN,1,Asian,Female
5,2,1,CFD-WF-026-002-N_degraded.jpg,0.713512855989393,0,White,Female
6,2,1,CFD-LM-239-075-N_degraded.jpg,NaN,1,Latino,Male
6,2,1,CFD-AF-242-158-N_degraded.jpg,NaN,1,Asian,Female
6,2,1,CFD-LM-239-075-N_degraded.jpg,0.45631394101656,1,Latino,Male
6,2,1,CFD-WF-246-087-N_degraded.jpg,NaN,1,White,Female
6,2,1,CFD-AF-212-097-N_degraded.jpg,NaN,1,Asian,Female
6,2,1,CFD-WF-246-087-N_degraded.jpg,0.545699351001531,1,White,Female
6,2,1,CFD-AF-212-097-N_degraded.jpg,0.833259503997397,1,Asian,Female
6,2,1,CFD-BF-214-308-N_degraded.jpg,NaN,1,Black,Female
6,2,1,CFD-AM-220-134-N_degraded.jpg,NaN,1,Asian,Male
6,2,1,CFD-WM-017-002-N_degraded.jpg,NaN,1,White,Male
7,2,1,CFD-LM-212-143-N_degraded.jpg,NaN,1,Latino,Male
7,2,1,CFD-WF-211-001-N_degraded.jpg,NaN,1,White,Female
7,2,1,CFD-AF-229-160-N_degraded.jpg,NaN,1,Asian,Female
7,2,1,CFD-WF-024-003-N_degraded.jpg,NaN,1,White,Female
7,2,1,CFD-AF-229-160-N_degraded.jpg,0.747382450994337,1,Asian,Female
7,2,1,CFD-LF-208-127-N_degraded.jpg,NaN,1,Latino,Female
7,2,1,CFD-AF-229-160-N_degraded.jpg,NaN,0,Asian,Female
7,2,1,CFD-LM-224-162-N_degraded.jpg,NaN,1,Latino,Male
7,2,1,CFD-AF-229-160-N_degraded.jpg,0.611039300012635,1,Asian,Female
7,2,1,CFD-AM-233-236-N_degraded.jpg,NaN,1,Asian,Male
8,2,1,CFD-BM-226-276-N_degraded.jpg,NaN,1,Black,Male
8,2,1,CFD-AF-239-171-N_degraded.jpg,NaN,1,Asian,Female
8,2,1,CFD-AF-229-160-N_degraded.jpg,NaN,1,Asian,Female
8,2,1,CFD-LF-244-096-N_degraded.jpg,NaN,1,Latino,Female
8,2,1,CFD-WF-016-015-N_degraded.jpg,NaN,1,White,Female
8,2,1,CFD-LF-244-096-N_degraded.jpg,NaN,0,Latino,Female
8,2,1,CFD-LM-223-175-N_degraded.jpg,NaN,1,Latino,Male
8,2,1,CFD-WF-016-015-N_degraded.jpg,0.669490653992398,0,White,Female
8,2,1,CFD-LM-223-175-N_degraded.jpg,NaN,0,Latino,Male
8,2,1,CFD-BF-233-116-N_degraded.jpg,NaN,1,Black,Female
9,2,1,CFD-AF-235-170-N_degraded.jpg,NaN,1,Asian,Female
9,2,1,CFD-AM-232-251-N_degraded.jpg,NaN,1,Asian,Male
9,2,1,CFD-WF-009-001-N_degraded.jpg,NaN,1,White,Female
9,2,1,CFD-AM-232-251-N_degraded.jpg,NaN,0,Asian,Male
9,2,1,CFD-WM-016-001-N_degraded.jpg,NaN,1,White,Male
9,2,1,CFD-WF-011-002-N_degraded.jpg,NaN,1,White,Female
9,2,1,CFD-BF-214-308-N_degraded.jpg,NaN,1,Black,Female
9,2,1,CFD-WF-011-002-N_degraded.jpg,0.442869060003432,1,White,Female
9,2,1,CFD-WF-011-002-N_degraded.jpg,NaN,1,White,Female
9,2,1,CFD-AM-210-035-N_degraded.jpg,NaN,1,Asian,Male
10,2,1,CFD-AM-240-191-N_degraded.jpg,NaN,1,Asian,Male
10,2,1,CFD-BF-226-119-N_degraded.jpg,NaN,1,Black,Female
10,2,1,CFD-WF-029-002-N_degraded.jpg,NaN,1,White,Female
10,2,1,CFD-WF-026-002-N_degraded.jpg,NaN,1,White,Female
10,2,1,CFD-LF-223-064-N_degraded.jpg,NaN,1,Latino,Female
10,2,1,CFD-WF-026-002-N_degraded.jpg,NaN,0,White,Female
10,2,1,CFD-WF-026-002-N_degraded.jpg,NaN,1,White,Female
10,2,1,CFD-LF-223-064-N_degraded.jpg,0.865137229004176,0,Latino,Female
10,2,1,CFD-LF-222-147-N_degraded.jpg,NaN,1,Latino,Female
10,2,1,CFD-BF-211-168-N_degraded.jpg,NaN,1,Black,Female
11,2,1,CFD-BM-226-276-N_degraded.jpg,NaN,1,Black,Male
11,2,1,CFD-BM-233-285-N_degraded.jpg,NaN,1,Black,Male
11,2,1,CFD-BM-226-276-N_degraded.jpg,0.469457807979779,1,Black,Male
11,2,1,CFD-BF-209-172-N_degraded.jpg,0.469932403007988,0,Black,Female
11,2,1,CFD-BM-233-285-N_degraded.jpg,NaN,1,Black,Male
11,2,1,CFD-LM-219-295-N_degraded.jpg,NaN,1,Latino,Male
11,2,1,CFD-WM-010-001-N_degraded.jpg,NaN,1,White,Male
11,2,1,CFD-LM-219-295-N_degraded.jpg,0.43701455599512,1,Latino,Male
11,2,1,CFD-WM-011-002-N_degraded.jpg,NaN,1,White,Male
11,2,1,CFD-LM-242-002-N_degraded.jpg,NaN,1,Latino,Male
12,2,1,CFD-AF-253-130-N_degraded.jpg,NaN,1,Asian,Female
12,2,1,CFD-AM-226-234-N_degraded.jpg,NaN,1,Asian,Male
12,2,1,CFD-AM-209-048-N_degraded.jpg,NaN,1,Asian,Male
12,2,1,CFD-LF-228-125-N_degraded.jpg,NaN,1,Latino,Female
12,2,1,CFD-AM-209-048-N_degraded.jpg,NaN,0,Asian,Male
12,2,1,CFD-AF-235-170-N_degraded.jpg,NaN,1,Asian,Female
12,2,1,CFD-AM-209-048-N_degraded.jpg,NaN,0,Asian,Male
12,2,1,CFD-WF-024-003-N_degraded.jpg,NaN,1,White,Female
12,2,1,CFD-AF-235-170-N_degraded.jpg,NaN,1,Asian,Female
12,2,1,CFD-LM-233-171-N_degraded.jpg,NaN,1,Latino,Male
13,2,0,CFD-WM-009-002-N.jpg,NaN,1,White,Male
13,2,0,CFD-LF-213-079-N.jpg,NaN,1,Latino,Female
13,2,0,CFD-WM-009-002-N.jpg,0.516257618990494,1,White,Male
13,2,0,CFD-BF-211-168-N.jpg,NaN,1,Black,Female
13,2,0,CFD-LF-213-079-N.jpg,0.983103646984091,0,Latino,Female
13,2,0,CFD-LF-213-079-N.jpg,NaN,1,Latino,Female
13,2,0,CFD-WM-232-070-N.jpg,NaN,1,White,Male
13,2,0,CFD-AF-220-107-N.jpg,NaN,1,Asian,Female
13,2,0,CFD-BF-226-119-N.jpg,NaN,1,Black,Female
13,2,0,CFD-WM-214-026-N.jpg,NaN,1,White,Male
14,2,0,CFD-WM-019-003-N.jpg,NaN,1,White,Male
14,2,0,CFD-AM-205-153-N.jpg,NaN,1,Asian,Male
14,2,0,CFD-WM-019-003-N.jpg,NaN,0,White,Male
14,2,0,CFD-BF-229-179-N.jpg,NaN,1,Black,Female
14,2,0,CFD-WM-009-002-N.jpg,NaN,1,White,Male
14,2,0,CFD-BF-229-179-N.jpg,0.545003960985923,1,Black,Female
14,2,0,CFD-BM-243-218-N.jpg,NaN,1,Black,Male
14,2,0,CFD-WM-009-002-N.jpg,NaN,1,White,Male
14,2,0,CFD-LF-238-154-N.jpg,NaN,1,Latino,Female
14,2,0,CFD-LF-226-174-N.jpg,NaN,1,Latino,Female
15,2,0,CFD-AF-219-106-N.jpg,NaN,1,Asian,Female
15,2,0,CFD-WF-029-002-N.jpg,NaN,1,White,Female
