Trial,nBack,Degradation,Image,RT,Accuracy,Race,Gender
1,0,1,CFD-BM-232-213-N_degraded.jpg,NaN,1,Black,Male
1,0,1,CFD-AM-239-147-N_degraded.jpg,0.465058075998968,0,Asian,Male
1,0,1,CFD-LF-243-175-N_degraded.jpg,NaN,1,Latino,Female
1,0,1,CFD-AF-227-207-N_degraded.jpg,NaN,1,Asian,Female
1,0,1,CFD-WM-242-011-N_degraded.jpg,0.733913670999755,1,White,Male
1,0,1,CFD-LF-224-176-N_degraded.jpg,NaN,1,Latino,Female
1,0,1,CFD-BF-226-119-N_degraded.jpg,NaN,1,Black,Female
1,0,1,CFD-WM-242-011-N_degraded.jpg,0.549310196001898,1,White,Male
1,0,1,CFD-WF-205-006-N_degraded.jpg,NaN,1,White,Female
1,0,1,CFD-WM-242-011-N_degraded.jpg,0.56288973700066,1,White,Male
2,0,1,CFD-WF-214-122-N_degraded.jpg,NaN,1,White,Female
2,0,1,CFD-WF-011-002-N_degraded.jpg,NaN,1,White,Female
2,0,1,CFD-BM-229-209-N_degraded.jpg,NaN,1,Black,Male
2,0,1,CFD-LM-229-187-N_degraded.jpg,NaN,1,Latino,Male
2,0,1,CFD-WF-022-017-N_degraded.jpg,0.62695997999981,1,White,Female
2,0,1,CFD-WM-031-003-N_degraded.jpg,NaN,1,White,Male
2,0,1,CFD-WF-022-017-N_degraded.jpg,0.570715456000471,1,White,Female
2,0,1,CFD-AM-236-090-N_degraded.jpg,NaN,1,Asian,Male
2,0,1,CFD-AF-227-207-N_degraded.jpg,NaN,1,Asian,Female
2,0,1,CFD-WF-022-017-N_degraded.jpg,0.530971866999607,1,White,Female
3,0,1,CFD-AF-214-139-N_degraded.jpg,NaN,1,Asian,Female
3,0,1,CFD-LM-208-110-N_degraded.jpg,NaN,1,Latino,Male
3,0,1,CFD-LF-243-175-N_degraded.jpg,NaN,1,Latino,Female
3,0,1,CFD-WF-029-002-N_degraded.jpg,0.574940939000953,0,White,Female
3,0,1,CFD-LM-235-231-N_degraded.jpg,NaN,1,Latino,Male
3,0,1,CFD-AF-242-158-N_degraded.jpg,NaN,1,Asian,Female
3,0,1,CFD-WM-031-003-N_degraded.jpg,0.543795346999104,1,White,Male
3,0,1,CFD-WM-031-003-N_degraded.jpg,0.695821386998432,1,White,Male
3,0,1,CFD-WM-031-003-N_degraded.jpg,0.575695454001107,1,White,Male
3,0,1,CFD-LF-211-003-N_degraded.jpg,NaN,1,Latino,Female
4,0,1,CFD-LF-209-072-N_degraded.jpg,NaN,1,Latino,Female
4,0,1,CFD-WF-026-002-N_degraded.jpg,NaN,1,White,Female
4,0,1,CFD-LM-226-175-N_degraded.jpg,NaN,1,Latino,Male
4,0,1,CFD-AF-229-160-N_degraded.jpg,0.669726144999004,1,Asian,Female
4,0,1,CFD-AF-229-160-N_degraded.jpg,0.541716884999914,1,Asian,Female
4,0,1,CFD-LM-225-130-N_degraded.jpg,NaN,1,Latino,Male
4,0,1,CFD-LF-212-066-N_degraded.jpg,NaN,1,Latino,Female
4,0,1,CFD-AM-233-236-N_degraded.jpg,NaN,1,Asian,Male
4,0,1,CFD-WM-028-003-N_degraded.jpg,NaN,1,White,Male
4,0,1,CFD-AF-229-160-N_degraded.jpg,0.538201321000088,1,Asian,Female
5,0,1,CFD-WF-009-001-N_degraded.jpg,NaN,1,White,Female
5,0,1,CFD-AM-232-251-N_degraded.jpg,NaN,1,Asian,Male
5,0,1,CFD-AF-235-170-N_degraded.jpg,0.584725677999813,1,Asian,Female
5,0,1,CFD-WM-016-001-N_degraded.jpg,NaN,1,White,Male
5,0,1,CFD-AM-210-035-N_degraded.jpg,NaN,1,Asian,Male
5,0,1,CFD-WF-200-099-N_degraded.jpg,NaN,1,White,Female
5,0,1,CFD-AF-235-170-N_degraded.jpg,0.62752977800119,1,Asian,Female
5,0,1,CFD-AF-235-170-N_degraded.jpg,0.610856884999521,1,Asian,Female
5,0,1,CFD-BF-214-308-N_degraded.jpg,NaN,1,Black,Female
5,0,1,CFD-WF-011-002-N_degraded.jpg,NaN,1,White,Female
6,0,1,CFD-WF-019-005-N_degraded.jpg,0.538972723999905,1,White,Female
6,0,1,CFD-BF-209-172-N_degraded.jpg,NaN,1,Black,Female
6,0,1,CFD-BM-232-213-N_degraded.jpg,NaN,1,Black,Male
6,0,1,CFD-WM-006-002-N_degraded.jpg,NaN,1,White,Male
6,0,1,CFD-LM-217-162-N_degraded.jpg,NaN,1,Latino,Male
6,0,1,CFD-BM-224-073-N_degraded.jpg,NaN,1,Black,Male
6,0,1,CFD-WM-009-002-N_degraded.jpg,NaN,1,White,Male
6,0,1,CFD-BM-225-154-N_degraded.jpg,NaN,1,Black,Male
6,0,1,CFD-WF-019-005-N_degraded.jpg,0.664001778997772,1,White,Female
6,0,1,CFD-WF-019-005-N_degraded.jpg,0.432072139999946,1,White,Female
7,0,1,CFD-LM-238-129-N_degraded.jpg,0.618580883001414,1,Latino,Male
7,0,1,CFD-LF-211-003-N_degraded.jpg,NaN,1,Latino,Female
7,0,1,CFD-WM-214-026-N_degraded.jpg,NaN,1,White,Male
7,0,1,CFD-WM-002-009-N_degraded.jpg,NaN,1,White,Male
7,0,1,CFD-WM-022-001-N_degraded.jpg,NaN,1,White,Male
7,0,1,CFD-LM-238-129-N_degraded.jpg,0.600900125999033,1,Latino,Male
