Trial,nBack,Degradation,Image,RT,Accuracy,Race,Gender,SubRace,SubGender
1,0,1,CFD-WM-026-001-N_degraded.jpg,0.469899768999312,1,White,Male,Multiracial,Male
1,0,1,CFD-LF-223-064-N_degraded.jpg,NaN,1,Latino,Female,Multiracial,Male
1,0,1,CFD-AF-211-066-N_degraded.jpg,NaN,1,Asian,Female,Multiracial,Male
1,0,1,CFD-WM-026-001-N_degraded.jpg,0.590462363994448,1,White,Male,Multiracial,Male
1,0,1,CFD-WM-026-001-N_degraded.jpg,0.565794727997854,1,White,Male,Multiracial,Male
1,0,1,CFD-AM-203-086-N_degraded.jpg,NaN,1,Asian,Male,Multiracial,Male
1,0,1,CFD-BM-233-285-N_degraded.jpg,NaN,1,Black,Male,Multiracial,Male
1,0,1,CFD-BF-230-189-N_degraded.jpg,NaN,1,Black,Female,Multiracial,Male
1,0,1,CFD-AM-214-168-N_degraded.jpg,NaN,1,Asian,Male,Multiracial,Male
1,0,1,CFD-WF-013-003-N_degraded.jpg,NaN,1,White,Female,Multiracial,Male
2,0,1,CFD-AM-211-052-N_degraded.jpg,NaN,1,Asian,Male,Multiracial,Male
2,0,1,CFD-AF-236-145-N_degraded.jpg,NaN,1,Asian,Female,Multiracial,Male
2,0,1,CFD-AM-240-191-N_degraded.jpg,0.667646661997424,1,Asian,Male,Multiracial,Male
2,0,1,CFD-AM-240-191-N_degraded.jpg,0.532475706990226,1,Asian,Male,Multiracial,Male
2,0,1,CFD-BM-222-173-N_degraded.jpg,NaN,1,Black,Male,Multiracial,Male
2,0,1,CFD-WF-027-003-N_degraded.jpg,NaN,1,White,Female,Multiracial,Male
2,0,1,CFD-AM-240-191-N_degraded.jpg,0.804534955008421,1,Asian,Male,Multiracial,Male
2,0,1,CFD-LF-211-003-N_degraded.jpg,NaN,1,Latino,Female,Multiracial,Male
2,0,1,CFD-WM-245-123-N_degraded.jpg,NaN,1,White,Male,Multiracial,Male
2,0,1,CFD-WM-017-002-N_degraded.jpg,NaN,1,White,Male,Multiracial,Male
3,0,1,CFD-LF-224-176-N_degraded.jpg,NaN,1,Latino,Female,Multiracial,Male
3,0,1,CFD-BM-221-198-N_degraded.jpg,0.624893564992817,1,Black,Male,Multiracial,Male
3,0,1,CFD-WM-016-001-N_degraded.jpg,NaN,1,White,Male,Multiracial,Male
3,0,1,CFD-BM-221-198-N_degraded.jpg,0.604213772006915,1,Black,Male,Multiracial,Male
3,0,1,CFD-AM-208-143-N_degraded.jpg,NaN,1,Asian,Male,Multiracial,Male
3,0,1,CFD-WF-208-068-N_degraded.jpg,NaN,1,White,Female,Multiracial,Male
3,0,1,CFD-AM-205-153-N_degraded.jpg,NaN,1,Asian,Male,Multiracial,Male
3,0,1,CFD-BM-221-198-N_degraded.jpg,0.610293284000363,1,Black,Male,Multiracial,Male
3,0,1,CFD-BF-204-189-N_degraded.jpg,NaN,1,Black,Female,Multiracial,Male
3,0,1,CFD-AM-223-138-N_degraded.jpg,NaN,1,Asian,Male,Multiracial,Male
4,0,1,CFD-AM-224-126-N_degraded.jpg,0.544435339004849,1,Asian,Male,Multiracial,Male
4,0,1,CFD-AF-226-251-N_degraded.jpg,NaN,1,Asian,Female,Multiracial,Male
4,0,1,CFD-AM-224-126-N_degraded.jpg,0.613361369003542,1,Asian,Male,Multiracial,Male
4,0,1,CFD-BM-239-136-N_degraded.jpg,NaN,1,Black,Male,Multiracial,Male
4,0,1,CFD-AM-224-126-N_degraded.jpg,0.490489421004895,1,Asian,Male,Multiracial,Male
4,0,1,CFD-BM-214-075-N_degraded.jpg,NaN,1,Black,Male,Multiracial,Male
4,0,1,CFD-WM-025-002-N_degraded.jpg,NaN,1,White,Male,Multiracial,Male
4,0,1,CFD-BM-238-242-N_degraded.jpg,NaN,1,Black,Male,Multiracial,Male
4,0,1,CFD-WM-010-001-N_degraded.jpg,NaN,1,White,Male,Multiracial,Male
4,0,1,CFD-AM-244-222-N_degraded.jpg,NaN,1,Asian,Male,Multiracial,Male
5,0,1,CFD-WM-031-003-N_degraded.jpg,0.52548379500513,1,White,Male,Multiracial,Male
5,0,1,CFD-WM-204-031-N_degraded.jpg,NaN,1,White,Male,Multiracial,Male
5,0,1,CFD-WM-031-003-N_degraded.jpg,0.581683055002941,1,White,Male,Multiracial,Male
5,0,1,CFD-AF-212-097-N_degraded.jpg,NaN,1,Asian,Female,Multiracial,Male
5,0,1,CFD-BF-236-177-N_degraded.jpg,NaN,1,Black,Female,Multiracial,Male
5,0,1,CFD-WF-023-003-N_degraded.jpg,NaN,1,White,Female,Multiracial,Male
5,0,1,CFD-AM-241-287-N_degraded.jpg,NaN,1,Asian,Male,Multiracial,Male
5,0,1,CFD-LF-225-164-N_degraded.jpg,NaN,1,Latino,Female,Multiracial,Male
5,0,1,CFD-AF-230-193-N_degraded.jpg,NaN,1,Asian,Female,Multiracial,Male
5,0,1,CFD-WM-031-003-N_degraded.jpg,0.631305777002126,1,White,Male,Multiracial,Male
6,0,1,CFD-LF-243-175-N_degraded.jpg,NaN,1,Latino,Female,Multiracial,Male
6,0,1,CFD-LM-225-130-N_degraded.jpg,0.591043128006277,1,Latino,Male,Multiracial,Male
6,0,1,CFD-AM-223-138-N_degraded.jpg,NaN,1,Asian,Male,Multiracial,Male
6,0,1,CFD-BF-242-154-N_degraded.jpg,NaN,1,Black,Female,Multiracial,Male
6,0,1,CFD-LM-225-130-N_degraded.jpg,0.687145175004844,1,Latino,Male,Multiracial,Male
