Trial,nBack,Degradation,Image,RT,Accuracy,Race,Gender,SubRace,SubGender
1,2,1,CFD-LM-220-329-N_degraded.jpg,NaN,1,Latino,Male,Multiracial,Female
1,2,1,CFD-BM-237-188-N_degraded.jpg,NaN,1,Black,Male,Multiracial,Female
1,2,1,CFD-LM-220-329-N_degraded.jpg,0.488518391997786,1,Latino,Male,Multiracial,Female
1,2,1,CFD-BM-237-188-N_degraded.jpg,0.984138614003314,1,Black,Male,Multiracial,Female
1,2,1,CFD-LF-243-175-N_degraded.jpg,NaN,1,Latino,Female,Multiracial,Female
1,2,1,CFD-AM-242-176-N_degraded.jpg,NaN,1,Asian,Male,Multiracial,Female
1,2,1,CFD-AM-220-134-N_degraded.jpg,NaN,1,Asian,Male,Multiracial,Female
1,2,1,CFD-WF-027-003-N_degraded.jpg,NaN,1,White,Female,Multiracial,Female
1,2,1,CFD-AM-220-134-N_degraded.jpg,0.665443984995363,1,Asian,Male,Multiracial,Female
1,2,1,CFD-WF-002-004-N_degraded.jpg,NaN,1,White,Female,Multiracial,Female
2,2,1,CFD-AF-244-168-N_degraded.jpg,NaN,1,Asian,Female,Multiracial,Female
2,2,1,CFD-BM-241-235-N_degraded.jpg,NaN,1,Black,Male,Multiracial,Female
2,2,1,CFD-AM-227-184-N_degraded.jpg,NaN,1,Asian,Male,Multiracial,Female
2,2,1,CFD-BM-241-235-N_degraded.jpg,NaN,0,Black,Male,Multiracial,Female
2,2,1,CFD-BM-241-235-N_degraded.jpg,NaN,1,Black,Male,Multiracial,Female
2,2,1,CFD-WM-006-002-N_degraded.jpg,NaN,1,White,Male,Multiracial,Female
2,2,1,CFD-WM-257-161-N_degraded.jpg,NaN,1,White,Male,Multiracial,Female
2,2,1,CFD-WM-006-002-N_degraded.jpg,0.546162381011527,1,White,Male,Multiracial,Female
2,2,1,CFD-AF-223-183-N_degraded.jpg,NaN,1,Asian,Female,Multiracial,Female
2,2,1,CFD-LF-217-082-N_degraded.jpg,NaN,1,Latino,Female,Multiracial,Female
3,2,1,CFD-BF-233-116-N_degraded.jpg,NaN,1,Black,Female,Multiracial,Female
3,2,1,CFD-AM-233-236-N_degraded.jpg,NaN,1,Asian,Male,Multiracial,Female
3,2,1,CFD-BF-233-116-N_degraded.jpg,0.579842228005873,1,Black,Female,Multiracial,Female
3,2,1,CFD-LF-202-065-N_degraded.jpg,NaN,1,Latino,Female,Multiracial,Female
3,2,1,CFD-WM-012-001-N_degraded.jpg,NaN,1,White,Male,Multiracial,Female
3,2,1,CFD-LF-202-065-N_degraded.jpg,0.874150037998334,1,Latino,Female,Multiracial,Female
3,2,1,CFD-LF-202-065-N_degraded.jpg,NaN,1,Latino,Female,Multiracial,Female
3,2,1,CFD-LF-243-175-N_degraded.jpg,NaN,1,Latino,Female,Multiracial,Female
3,2,1,CFD-AF-245-143-N_degraded.jpg,NaN,1,Asian,Female,Multiracial,Female
3,2,1,CFD-BM-201-077-N_degraded.jpg,NaN,1,Black,Male,Multiracial,Female
4,2,1,CFD-WM-257-161-N_degraded.jpg,NaN,1,White,Male,Multiracial,Female
4,2,1,CFD-WF-024-003-N_degraded.jpg,NaN,1,White,Female,Multiracial,Female
4,2,1,CFD-BM-239-136-N_degraded.jpg,NaN,1,Black,Male,Multiracial,Female
4,2,1,CFD-WM-006-002-N_degraded.jpg,NaN,1,White,Male,Multiracial,Female
4,2,1,CFD-AM-205-153-N_degraded.jpg,NaN,1,Asian,Male,Multiracial,Female
4,2,1,CFD-BM-201-077-N_degraded.jpg,0.911360643003718,0,Black,Male,Multiracial,Female
4,2,1,CFD-AM-205-153-N_degraded.jpg,NaN,0,Asian,Male,Multiracial,Female
4,2,1,CFD-AM-205-153-N_degraded.jpg,NaN,1,Asian,Male,Multiracial,Female
4,2,1,CFD-AM-205-153-N_degraded.jpg,0.379924283988657,1,Asian,Male,Multiracial,Female
4,2,1,CFD-WM-018-002-N_degraded.jpg,NaN,1,White,Male,Multiracial,Female
5,2,1,CFD-BF-234-167-N_degraded.jpg,NaN,1,Black,Female,Multiracial,Female
5,2,1,CFD-WM-026-001-N_degraded.jpg,NaN,1,White,Male,Multiracial,Female
5,2,1,CFD-AF-253-130-N_degraded.jpg,0.712636929005384,0,Asian,Female,Multiracial,Female
5,2,1,CFD-LM-238-129-N_degraded.jpg,NaN,1,Latino,Male,Multiracial,Female
5,2,1,CFD-AF-253-130-N_degraded.jpg,NaN,0,Asian,Female,Multiracial,Female
5,2,1,CFD-LM-208-110-N_degraded.jpg,NaN,1,Latino,Male,Multiracial,Female
5,2,1,CFD-LM-238-129-N_degraded.jpg,NaN,1,Latino,Male,Multiracial,Female
5,2,1,CFD-WF-028-023-N_degraded.jpg,NaN,1,White,Female,Multiracial,Female
5,2,1,CFD-LM-238-129-N_degraded.jpg,0.851169544999721,1,Latino,Male,Multiracial,Female
5,2,1,CFD-BM-204-003-N_degraded.jpg,NaN,1,Black,Male,Multiracial,Female
6,2,1,CFD-LF-218-072-N_degraded.jpg,NaN,1,Latino,Female,Multiracial,Female
6,2,1,CFD-WM-240-125-N_degraded.jpg,NaN,1,White,Male,Multiracial,Female
6,2,1,CFD-LF-216-121-N_degraded.jpg,NaN,1,Latino,Female,Multiracial,Female
6,2,1,CFD-BF-228-212-N_degraded.jpg,NaN,1,Black,Female,Multiracial,Female
6,2,1,CFD-LF-216-121-N_degraded.jpg,0.855128841998521,1,Latino,Female,Multiracial,Female
6,2,1,CFD-LF-216-121-N_degraded.jpg,NaN,1,Latino,Female,Multiracial,Female
