Trial,nBack,Degradation,Image,RT,Accuracy,Race,Gender,SubRace,SubGender
1,1,1,CFD-LM-220-329-N_degraded.jpg,NaN,1,Latino,Male,White,Male
1,1,1,CFD-LM-220-329-N_degraded.jpg,0.43804343600641,1,Latino,Male,White,Male
1,1,1,CFD-LM-220-329-N_degraded.jpg,NaN,0,Latino,Male,White,Male
1,1,1,CFD-BM-237-188-N_degraded.jpg,NaN,1,Black,Male,White,Male
1,1,1,CFD-LF-243-175-N_degraded.jpg,NaN,1,Latino,Female,White,Male
1,1,1,CFD-AM-242-176-N_degraded.jpg,NaN,1,Asian,Male,White,Male
1,1,1,CFD-AM-220-134-N_degraded.jpg,0.689914328017039,0,Asian,Male,White,Male
1,1,1,CFD-WF-027-003-N_degraded.jpg,NaN,1,White,Female,White,Male
1,1,1,CFD-WF-002-004-N_degraded.jpg,NaN,1,White,Female,White,Male
1,1,1,CFD-WF-002-004-N_degraded.jpg,NaN,0,White,Female,White,Male
2,1,1,CFD-AF-244-168-N_degraded.jpg,NaN,1,Asian,Female,White,Male
2,1,1,CFD-BM-241-235-N_degraded.jpg,NaN,1,Black,Male,White,Male
2,1,1,CFD-BM-241-235-N_degraded.jpg,0.477585985994665,1,Black,Male,White,Male
2,1,1,CFD-AM-227-184-N_degraded.jpg,NaN,1,Asian,Male,White,Male
2,1,1,CFD-AM-227-184-N_degraded.jpg,0.492263772001024,1,Asian,Male,White,Male
2,1,1,CFD-WM-006-002-N_degraded.jpg,NaN,1,White,Male,White,Male
2,1,1,CFD-WM-257-161-N_degraded.jpg,NaN,1,White,Male,White,Male
2,1,1,CFD-AF-223-183-N_degraded.jpg,NaN,1,Asian,Female,White,Male
2,1,1,CFD-AF-223-183-N_degraded.jpg,NaN,0,Asian,Female,White,Male
2,1,1,CFD-LF-217-082-N_degraded.jpg,NaN,1,Latino,Female,White,Male
3,1,1,CFD-BF-233-116-N_degraded.jpg,NaN,1,Black,Female,White,Male
3,1,1,CFD-BF-233-116-N_degraded.jpg,0.576961015991401,1,Black,Female,White,Male
3,1,1,CFD-AM-233-236-N_degraded.jpg,NaN,1,Asian,Male,White,Male
3,1,1,CFD-LF-202-065-N_degraded.jpg,NaN,1,Latino,Female,White,Male
3,1,1,CFD-LF-202-065-N_degraded.jpg,0.570508617005544,1,Latino,Female,White,Male
3,1,1,CFD-WM-012-001-N_degraded.jpg,NaN,1,White,Male,White,Male
3,1,1,CFD-WM-012-001-N_degraded.jpg,0.43154818698531,1,White,Male,White,Male
3,1,1,CFD-LF-243-175-N_degraded.jpg,NaN,1,Latino,Female,White,Male
3,1,1,CFD-AF-245-143-N_degraded.jpg,NaN,1,Asian,Female,White,Male
3,1,1,CFD-BM-201-077-N_degraded.jpg,0.541845382016618,0,Black,Male,White,Male
4,1,1,CFD-WM-257-161-N_degraded.jpg,NaN,1,White,Male,White,Male
4,1,1,CFD-WF-024-003-N_degraded.jpg,NaN,1,White,Female,White,Male
4,1,1,CFD-BM-239-136-N_degraded.jpg,NaN,1,Black,Male,White,Male
4,1,1,CFD-WM-006-002-N_degraded.jpg,NaN,1,White,Male,White,Male
4,1,1,CFD-AM-205-153-N_degraded.jpg,NaN,1,Asian,Male,White,Male
4,1,1,CFD-BM-201-077-N_degraded.jpg,NaN,1,Black,Male,White,Male
4,1,1,CFD-BM-201-077-N_degraded.jpg,0.446345809992636,1,Black,Male,White,Male
4,1,1,CFD-BM-201-077-N_degraded.jpg,0.589850410004146,1,Black,Male,White,Male
4,1,1,CFD-WM-018-002-N_degraded.jpg,NaN,1,White,Male,White,Male
4,1,1,CFD-WM-018-002-N_degraded.jpg,0.721691250015283,1,White,Male,White,Male
5,1,1,CFD-BF-234-167-N_degraded.jpg,NaN,1,Black,Female,White,Male
5,1,1,CFD-WM-026-001-N_degraded.jpg,NaN,1,White,Male,White,Male
5,1,1,CFD-AF-253-130-N_degraded.jpg,NaN,1,Asian,Female,White,Male
5,1,1,CFD-AF-253-130-N_degraded.jpg,NaN,0,Asian,Female,White,Male
5,1,1,CFD-LM-238-129-N_degraded.jpg,NaN,1,Latino,Male,White,Male
5,1,1,CFD-LM-208-110-N_degraded.jpg,NaN,1,Latino,Male,White,Male
5,1,1,CFD-WF-028-023-N_degraded.jpg,NaN,1,White,Female,White,Male
5,1,1,CFD-WF-028-023-N_degraded.jpg,0.529309259000001,1,White,Female,White,Male
5,1,1,CFD-WF-028-023-N_degraded.jpg,NaN,0,White,Female,White,Male
5,1,1,CFD-BM-204-003-N_degraded.jpg,NaN,1,Black,Male,White,Male
6,1,1,CFD-LF-218-072-N_degraded.jpg,NaN,1,Latino,Female,White,Male
6,1,1,CFD-WM-240-125-N_degraded.jpg,NaN,1,White,Male,White,Male
6,1,1,CFD-LF-216-121-N_degraded.jpg,NaN,1,Latino,Female,White,Male
6,1,1,CFD-LF-216-121-N_degraded.jpg,NaN,0,Latino,Female,White,Male
6,1,1,CFD-LF-216-121-N_degraded.jpg,0.562657750007929,1,Latino,Female,White,Male
6,1,1,CFD-BF-228-212-N_degraded.jpg,NaN,1,Black,Female,White,Male
6,1,1,CFD-LF-240-199-N_degraded.jpg,NaN,1,Latino,Female,White,Male
6,1,1,CFD-LF-240-199-N_degraded.jpg,0.768958460976137,1,Latino,Female,White,Male
6,1,1,CFD-BF-239-180-N_degraded.jpg,NaN,1,Black,Female,White,Male
6,1,1,CFD-LM-246-087-N_degraded.jpg,0.337877347978065,0,Latino,Male,White,Male
7,1,1,CFD-WM-239-128-N_degraded.jpg,NaN,1,White,Male,White,Male
7,1,1,CFD-BF-228-212-N_degraded.jpg,NaN,1,Black,Female,White,Male
7,1,1,CFD-WF-200-099-N_degraded.jpg,NaN,1,White,Female,White,Male
7,1,1,CFD-WF-200-099-N_degraded.jpg,0.675126810005167,1,White,Female,White,Male
7,1,1,CFD-WF-200-099-N_degraded.jpg,0.644655534997582,1,White,Female,White,Male
7,1,1,CFD-LM-241-125-N_degraded.jpg,NaN,1,Latino,Male,White,Male
7,1,1,CFD-WM-031-003-N_degraded.jpg,NaN,1,White,Male,White,Male
7,1,1,CFD-WM-031-003-N_degraded.jpg,NaN,0,White,Male,White,Male
7,1,1,CFD-AF-219-106-N_degraded.jpg,NaN,1,Asian,Female,White,Male
7,1,1,CFD-BF-237-172-N_degraded.jpg,NaN,1,Black,Female,White,Male
8,1,1,CFD-LM-234-176-N_degraded.jpg,NaN,1,Latino,Male,White,Male
8,1,1,CFD-LF-244-096-N_degraded.jpg,NaN,1,Latino,Female,White,Male
8,1,1,CFD-LF-244-096-N_degraded.jpg,NaN,0,Latino,Female,White,Male
8,1,1,CFD-LF-231-260-N_degraded.jpg,NaN,1,Latino,Female,White,Male
8,1,1,CFD-LM-213-061-N_degraded.jpg,NaN,1,Latino,Male,White,Male
8,1,1,CFD-AF-225-141-N_degraded.jpg,NaN,1,Asian,Female,White,Male
8,1,1,CFD-AF-225-141-N_degraded.jpg,0.606367061001947,1,Asian,Female,White,Male
8,1,1,CFD-BF-234-167-N_degraded.jpg,NaN,1,Black,Female,White,Male
8,1,1,CFD-BF-234-167-N_degraded.jpg,0.47342763398774,1,Black,Female,White,Male
8,1,1,CFD-BM-225-154-N_degraded.jpg,NaN,1,Black,Male,White,Male
9,1,1,CFD-BF-211-168-N_degraded.jpg,NaN,1,Black,Female,White,Male
9,1,1,CFD-LM-240-013-N_degraded.jpg,NaN,1,Latino,Male,White,Male
9,1,1,CFD-AM-206-086-N_degraded.jpg,NaN,1,Asian,Male,White,Male
9,1,1,CFD-WF-031-027-N_degraded.jpg,NaN,1,White,Female,White,Male
9,1,1,CFD-WM-255-219-N_degraded.jpg,NaN,1,White,Male,White,Male
