Trial,nBack,Degradation,Image,RT,Accuracy,Race,Gender,SubRace,SubGender
1,2,1,CFD-BF-209-172-N_degraded.jpg,NaN,1,Black,Female,Indian,Female
1,2,1,CFD-BF-211-168-N_degraded.jpg,NaN,1,Black,Female,Indian,Female
1,2,1,CFD-BF-209-172-N_degraded.jpg,0.508938097002101,1,Black,Female,Indian,Female
1,2,1,CFD-WM-001-014-N_degraded.jpg,NaN,1,White,Male,Indian,Female
1,2,1,CFD-BM-224-073-N_degraded.jpg,0.634532244992442,0,Black,Male,Indian,Female
1,2,1,CFD-LM-248-089-N_degraded.jpg,NaN,1,Latino,Male,Indian,Female
1,2,1,CFD-LF-234-139-N_degraded.jpg,NaN,1,Latino,Female,Indian,Female
1,2,1,CFD-LM-248-089-N_degraded.jpg,0.534407424987876,1,Latino,Male,Indian,Female
1,2,1,CFD-LM-248-089-N_degraded.jpg,NaN,1,Latino,Male,Indian,Female
1,2,1,CFD-WF-009-001-N_degraded.jpg,NaN,1,White,Female,Indian,Female
2,2,1,CFD-AF-227-207-N_degraded.jpg,NaN,1,Asian,Female,Indian,Female
2,2,1,CFD-BM-233-285-N_degraded.jpg,NaN,1,Black,Male,Indian,Female
2,2,1,CFD-AF-227-207-N_degraded.jpg,0.509307326006819,1,Asian,Female,Indian,Female
2,2,1,CFD-BF-227-137-N_degraded.jpg,NaN,1,Black,Female,Indian,Female
2,2,1,CFD-LF-244-096-N_degraded.jpg,NaN,1,Latino,Female,Indian,Female
2,2,1,CFD-BF-227-137-N_degraded.jpg,0.565493180009071,1,Black,Female,Indian,Female
2,2,1,CFD-BF-227-137-N_degraded.jpg,NaN,1,Black,Female,Indian,Female
2,2,1,CFD-AM-239-147-N_degraded.jpg,NaN,1,Asian,Male,Indian,Female
2,2,1,CFD-LF-225-164-N_degraded.jpg,NaN,1,Latino,Female,Indian,Female
2,2,1,CFD-LF-233-277-N_degraded.jpg,NaN,1,Latino,Female,Indian,Female
3,2,1,CFD-LF-204-133-N_degraded.jpg,NaN,1,Latino,Female,Indian,Female
3,2,1,CFD-BM-211-174-N_degraded.jpg,NaN,1,Black,Male,Indian,Female
3,2,1,CFD-LF-204-133-N_degraded.jpg,0.465370648002136,1,Latino,Female,Indian,Female
3,2,1,CFD-AF-247-278-N_degraded.jpg,NaN,1,Asian,Female,Indian,Female
3,2,1,CFD-BM-230-232-N_degraded.jpg,NaN,1,Black,Male,Indian,Female
3,2,1,CFD-BM-226-276-N_degraded.jpg,NaN,1,Black,Male,Indian,Female
3,2,1,CFD-BM-230-232-N_degraded.jpg,0.794447120992118,1,Black,Male,Indian,Female
3,2,1,CFD-LF-215-157-N_degraded.jpg,NaN,1,Latino,Female,Indian,Female
3,2,1,CFD-BM-230-232-N_degraded.jpg,0.81700894999085,1,Black,Male,Indian,Female
3,2,1,CFD-WF-018-017-N_degraded.jpg,NaN,1,White,Female,Indian,Female
4,2,1,CFD-AM-237-154-N_degraded.jpg,NaN,1,Asian,Male,Indian,Female
4,2,1,CFD-BM-231-155-N_degraded.jpg,NaN,1,Black,Male,Indian,Female
4,2,1,CFD-WM-204-031-N_degraded.jpg,NaN,1,White,Male,Indian,Female
4,2,1,CFD-BM-231-155-N_degraded.jpg,0.78951930400217,1,Black,Male,Indian,Female
4,2,1,CFD-WF-015-006-N_degraded.jpg,NaN,1,White,Female,Indian,Female
4,2,1,CFD-BM-226-276-N_degraded.jpg,0.45714272299665,0,Black,Male,Indian,Female
4,2,1,CFD-WF-015-006-N_degraded.jpg,NaN,0,White,Female,Indian,Female
4,2,1,CFD-WF-015-006-N_degraded.jpg,0.989441867001005,0,White,Female,Indian,Female
4,2,1,CFD-BF-229-179-N_degraded.jpg,NaN,1,Black,Female,Indian,Female
4,2,1,CFD-AF-229-160-N_degraded.jpg,NaN,1,Asian,Female,Indian,Female
5,2,1,CFD-BM-218-132-N_degraded.jpg,NaN,1,Black,Male,Indian,Female
5,2,1,CFD-AM-217-085-N_degraded.jpg,NaN,1,Asian,Male,Indian,Female
5,2,1,CFD-LM-248-089-N_degraded.jpg,NaN,1,Latino,Male,Indian,Female
5,2,1,CFD-BF-242-154-N_degraded.jpg,NaN,1,Black,Female,Indian,Female
5,2,1,CFD-WM-025-002-N_degraded.jpg,0.692773702001432,0,White,Male,Indian,Female
5,2,1,CFD-BF-242-154-N_degraded.jpg,0.748716724003316,1,Black,Female,Indian,Female
5,2,1,CFD-WM-025-002-N_degraded.jpg,NaN,0,White,Male,Indian,Female
5,2,1,CFD-BF-242-154-N_degraded.jpg,0.708897428994533,1,Black,Female,Indian,Female
5,2,1,CFD-AF-214-139-N_degraded.jpg,NaN,1,Asian,Female,Indian,Female
5,2,1,CFD-WF-026-002-N_degraded.jpg,NaN,1,White,Female,Indian,Female
6,2,1,CFD-LM-239-075-N_degraded.jpg,NaN,1,Latino,Male,Indian,Female
6,2,1,CFD-AF-242-158-N_degraded.jpg,NaN,1,Asian,Female,Indian,Female
6,2,1,CFD-LM-239-075-N_degraded.jpg,0.711712475997047,1,Latino,Male,Indian,Female
6,2,1,CFD-WF-246-087-N_degraded.jpg,NaN,1,White,Female,Indian,Female
6,2,1,CFD-AF-212-097-N_degraded.jpg,NaN,1,Asian,Female,Indian,Female
6,2,1,CFD-WF-246-087-N_degraded.jpg,NaN,0,White,Female,Indian,Female
6,2,1,CFD-AF-212-097-N_degraded.jpg,0.597554152991506,1,Asian,Female,Indian,Female
