Trial,nBack,Degradation,Image,RT,Accuracy,Race,Gender
1,1,0,CFD-WF-003-003-N.jpg,NaN,1,White,Female
1,1,0,CFD-WF-001-003-N.jpg,NaN,1,White,Female
1,1,0,CFD-WF-001-003-N.jpg,0.730597189991386,1,White,Female
1,1,0,CFD-BM-046-006-N.jpg,NaN,1,Black,Male
1,1,0,CFD-LF-222-147-N.jpg,NaN,1,Latino,Female
1,1,0,CFD-AF-236-145-N.jpg,NaN,1,Asian,Female
1,1,0,CFD-AF-228-173-N.jpg,NaN,1,Asian,Female
1,1,0,CFD-AF-228-173-N.jpg,0.502522476002923,1,Asian,Female
1,1,0,CFD-LF-207-198-N.jpg,NaN,1,Latino,Female
1,1,0,CFD-LF-207-198-N.jpg,0.559779258997878,1,Latino,Female
2,1,0,CFD-LF-224-176-N.jpg,NaN,1,Latino,Female
2,1,0,CFD-BM-234-172-N.jpg,NaN,1,Black,Male
2,1,0,CFD-BM-234-172-N.jpg,0.501229934001458,1,Black,Male
2,1,0,CFD-AF-211-066-N.jpg,NaN,1,Asian,Female
2,1,0,CFD-BF-231-202-N.jpg,NaN,1,Black,Female
2,1,0,CFD-BF-231-202-N.jpg,0.503209905000404,1,Black,Female
2,1,0,CFD-BF-231-202-N.jpg,0.622539011994377,1,Black,Female
2,1,0,CFD-AM-214-168-N.jpg,NaN,1,Asian,Male
2,1,0,CFD-WF-014-002-N.jpg,NaN,1,White,Female
2,1,0,CFD-BF-220-161-N.jpg,NaN,1,Black,Female
3,1,0,CFD-BF-204-189-N.jpg,NaN,1,Black,Female
3,1,0,CFD-LM-212-143-N.jpg,NaN,1,Latino,Male
3,1,0,CFD-LM-212-143-N.jpg,0.613261403006618,1,Latino,Male
3,1,0,CFD-LM-224-162-N.jpg,NaN,1,Latino,Male
3,1,0,CFD-LM-246-087-N.jpg,NaN,1,Latino,Male
3,1,0,CFD-BM-226-276-N.jpg,NaN,1,Black,Male
3,1,0,CFD-AF-238-185-N.jpg,NaN,1,Asian,Female
3,1,0,CFD-AM-239-147-N.jpg,NaN,1,Asian,Male
3,1,0,CFD-AM-239-147-N.jpg,0.659668248001253,1,Asian,Male
3,1,0,CFD-AM-239-147-N.jpg,0.715140783999232,1,Asian,Male
4,1,0,CFD-LF-213-079-N.jpg,NaN,1,Latino,Female
4,1,0,CFD-WM-255-219-N.jpg,NaN,1,White,Male
4,1,0,CFD-AF-236-145-N.jpg,NaN,1,Asian,Female
4,1,0,CFD-BM-224-073-N.jpg,NaN,1,Black,Male
4,1,0,CFD-AF-246-242-N.jpg,NaN,1,Asian,Female
4,1,0,CFD-WM-034-030-N.jpg,NaN,1,White,Male
4,1,0,CFD-WM-034-030-N.jpg,0.510228735001874,1,White,Male
4,1,0,CFD-WM-034-030-N.jpg,0.637767371998052,1,White,Male
4,1,0,CFD-WM-034-030-N.jpg,0.525402321000001,1,White,Male
4,1,0,CFD-AF-201-060-N.jpg,NaN,1,Asian,Female
5,1,0,CFD-AF-239-171-N.jpg,NaN,1,Asian,Female
5,1,0,CFD-BM-208-065-N.jpg,NaN,1,Black,Male
5,1,0,CFD-BM-208-065-N.jpg,0.489732572998037,1,Black,Male
5,1,0,CFD-BM-208-065-N.jpg,0.625951380003244,1,Black,Male
