Trial,nBack,Degradation,Image,RT,Accuracy,Race,Gender
1,1,0,CFD-WF-003-003-N.jpg,NaN,1,White,Female
1,1,0,CFD-WF-001-003-N.jpg,NaN,1,White,Female
1,1,0,CFD-WF-001-003-N.jpg,0.62070817300264,1,White,Female
1,1,0,CFD-BM-046-006-N.jpg,NaN,1,Black,Male
1,1,0,CFD-LF-222-147-N.jpg,NaN,1,Latino,Female
1,1,0,CFD-AF-236-145-N.jpg,NaN,1,Asian,Female
1,1,0,CFD-AF-228-173-N.jpg,NaN,1,Asian,Female
1,1,0,CFD-AF-228-173-N.jpg,0.448642299001222,1,Asian,Female
1,1,0,CFD-LF-207-198-N.jpg,NaN,1,Latino,Female
1,1,0,CFD-LF-207-198-N.jpg,0.393125185000827,1,Latino,Female
2,1,0,CFD-LF-224-176-N.jpg,NaN,1,Latino,Female
2,1,0,CFD-BM-234-172-N.jpg,NaN,1,Black,Male
2,1,0,CFD-BM-234-172-N.jpg,0.435856225994939,1,Black,Male
2,1,0,CFD-AF-211-066-N.jpg,NaN,1,Asian,Female
2,1,0,CFD-BF-231-202-N.jpg,NaN,1,Black,Female
2,1,0,CFD-BF-231-202-N.jpg,0.394742333002796,1,Black,Female
2,1,0,CFD-BF-231-202-N.jpg,0.617722016999323,1,Black,Female
2,1,0,CFD-AM-214-168-N.jpg,NaN,1,Asian,Male
2,1,0,CFD-WF-014-002-N.jpg,NaN,1,White,Female
2,1,0,CFD-BF-220-161-N.jpg,NaN,1,Black,Female
3,1,0,CFD-BF-204-189-N.jpg,NaN,1,Black,Female
3,1,0,CFD-LM-212-143-N.jpg,NaN,1,Latino,Male
3,1,0,CFD-LM-212-143-N.jpg,0.461731636998593,1,Latino,Male
3,1,0,CFD-LM-224-162-N.jpg,NaN,1,Latino,Male
3,1,0,CFD-LM-246-087-N.jpg,NaN,1,Latino,Male
3,1,0,CFD-BM-226-276-N.jpg,NaN,1,Black,Male
3,1,0,CFD-AF-238-185-N.jpg,NaN,1,Asian,Female
3,1,0,CFD-AM-239-147-N.jpg,NaN,1,Asian,Male
3,1,0,CFD-AM-239-147-N.jpg,0.54063282199786,1,Asian,Male
3,1,0,CFD-AM-239-147-N.jpg,0.676766988995951,1,Asian,Male
4,1,0,CFD-LF-213-079-N.jpg,NaN,1,Latino,Female
4,1,0,CFD-WM-255-219-N.jpg,NaN,1,White,Male
4,1,0,CFD-AF-236-145-N.jpg,NaN,1,Asian,Female
4,1,0,CFD-BM-224-073-N.jpg,NaN,1,Black,Male
4,1,0,CFD-AF-246-242-N.jpg,NaN,1,Asian,Female
4,1,0,CFD-WM-034-030-N.jpg,NaN,1,White,Male
4,1,0,CFD-WM-034-030-N.jpg,0.53508900799352,1,White,Male
4,1,0,CFD-WM-034-030-N.jpg,0.543731217003369,1,White,Male
4,1,0,CFD-WM-034-030-N.jpg,0.495180600002641,1,White,Male
4,1,0,CFD-AF-201-060-N.jpg,NaN,1,Asian,Female
5,1,0,CFD-AF-239-171-N.jpg,NaN,1,Asian,Female
5,1,0,CFD-BM-208-065-N.jpg,NaN,1,Black,Male
5,1,0,CFD-BM-208-065-N.jpg,0.544322349996946,1,Black,Male
5,1,0,CFD-BM-208-065-N.jpg,0.480234606999147,1,Black,Male
