Trial,nBack,Degradation,Image,RT,Accuracy,Race,Gender,SubRace,SubGender
1,0,0,CFD-BM-232-213-N.jpg,NaN,1,Black,Male,Black,Female
1,0,0,CFD-AM-239-147-N.jpg,NaN,1,Asian,Male,Black,Female
1,0,0,CFD-LF-243-175-N.jpg,NaN,1,Latino,Female,Black,Female
1,0,0,CFD-AF-227-207-N.jpg,NaN,1,Asian,Female,Black,Female
1,0,0,CFD-WM-242-011-N.jpg,0.57459606800694,1,White,Male,Black,Female
1,0,0,CFD-LF-224-176-N.jpg,NaN,1,Latino,Female,Black,Female
1,0,0,CFD-BF-226-119-N.jpg,NaN,1,Black,Female,Black,Female
1,0,0,CFD-WM-242-011-N.jpg,0.694738435006002,1,White,Male,Black,Female
1,0,0,CFD-WF-205-006-N.jpg,NaN,1,White,Female,Black,Female
1,0,0,CFD-WM-242-011-N.jpg,0.733055610995507,1,White,Male,Black,Female
2,0,0,CFD-WF-214-122-N.jpg,NaN,1,White,Female,Black,Female
2,0,0,CFD-WF-011-002-N.jpg,NaN,1,White,Female,Black,Female
2,0,0,CFD-BM-229-209-N.jpg,NaN,1,Black,Male,Black,Female
2,0,0,CFD-LM-229-187-N.jpg,NaN,1,Latino,Male,Black,Female
2,0,0,CFD-WF-022-017-N.jpg,0.604765026000678,1,White,Female,Black,Female
2,0,0,CFD-WM-031-003-N.jpg,NaN,1,White,Male,Black,Female
2,0,0,CFD-WF-022-017-N.jpg,0.621582312000101,1,White,Female,Black,Female
2,0,0,CFD-AM-236-090-N.jpg,NaN,1,Asian,Male,Black,Female
2,0,0,CFD-AF-227-207-N.jpg,NaN,1,Asian,Female,Black,Female
2,0,0,CFD-WF-022-017-N.jpg,0.609116070991149,1,White,Female,Black,Female
3,0,0,CFD-AF-214-139-N.jpg,NaN,1,Asian,Female,Black,Female
3,0,0,CFD-LM-208-110-N.jpg,NaN,1,Latino,Male,Black,Female
3,0,0,CFD-LF-243-175-N.jpg,NaN,1,Latino,Female,Black,Female
3,0,0,CFD-WF-029-002-N.jpg,NaN,1,White,Female,Black,Female
3,0,0,CFD-LM-235-231-N.jpg,NaN,1,Latino,Male,Black,Female
3,0,0,CFD-AF-242-158-N.jpg,NaN,1,Asian,Female,Black,Female
3,0,0,CFD-WM-031-003-N.jpg,0.551606900000479,1,White,Male,Black,Female
3,0,0,CFD-WM-031-003-N.jpg,0.52845939299732,1,White,Male,Black,Female
3,0,0,CFD-WM-031-003-N.jpg,0.575593574001687,1,White,Male,Black,Female
3,0,0,CFD-LF-211-003-N.jpg,NaN,1,Latino,Female,Black,Female
4,0,0,CFD-LF-209-072-N.jpg,NaN,1,Latino,Female,Black,Female
4,0,0,CFD-WF-026-002-N.jpg,NaN,1,White,Female,Black,Female
4,0,0,CFD-LM-226-175-N.jpg,NaN,1,Latino,Male,Black,Female
4,0,0,CFD-AF-229-160-N.jpg,NaN,0,Asian,Female,Black,Female
4,0,0,CFD-AF-229-160-N.jpg,0.595153213012964,1,Asian,Female,Black,Female
4,0,0,CFD-LM-225-130-N.jpg,NaN,1,Latino,Male,Black,Female
4,0,0,CFD-LF-212-066-N.jpg,NaN,1,Latino,Female,Black,Female
4,0,0,CFD-AM-233-236-N.jpg,NaN,1,Asian,Male,Black,Female
4,0,0,CFD-WM-028-003-N.jpg,NaN,1,White,Male,Black,Female
4,0,0,CFD-AF-229-160-N.jpg,0.515272484000889,1,Asian,Female,Black,Female
5,0,0,CFD-WF-009-001-N.jpg,NaN,1,White,Female,Black,Female
5,0,0,CFD-AM-232-251-N.jpg,NaN,1,Asian,Male,Black,Female
5,0,0,CFD-AF-235-170-N.jpg,0.656880415001069,1,Asian,Female,Black,Female
5,0,0,CFD-WM-016-001-N.jpg,NaN,1,White,Male,Black,Female
5,0,0,CFD-AM-210-035-N.jpg,NaN,1,Asian,Male,Black,Female
5,0,0,CFD-WF-200-099-N.jpg,NaN,1,White,Female,Black,Female
5,0,0,CFD-AF-235-170-N.jpg,0.530359191005118,1,Asian,Female,Black,Female
5,0,0,CFD-AF-235-170-N.jpg,0.585404557001311,1,Asian,Female,Black,Female
5,0,0,CFD-BF-214-308-N.jpg,NaN,1,Black,Female,Black,Female
5,0,0,CFD-WF-011-002-N.jpg,NaN,1,White,Female,Black,Female
6,0,0,CFD-WF-019-005-N.jpg,0.521264437003992,1,White,Female,Black,Female
6,0,0,CFD-BF-209-172-N.jpg,NaN,1,Black,Female,Black,Female
6,0,0,CFD-BM-232-213-N.jpg,NaN,1,Black,Male,Black,Female
6,0,0,CFD-WM-006-002-N.jpg,NaN,1,White,Male,Black,Female
6,0,0,CFD-LM-217-162-N.jpg,NaN,1,Latino,Male,Black,Female
6,0,0,CFD-BM-224-073-N.jpg,NaN,1,Black,Male,Black,Female
6,0,0,CFD-WM-009-002-N.jpg,NaN,1,White,Male,Black,Female
6,0,0,CFD-BM-225-154-N.jpg,NaN,1,Black,Male,Black,Female
6,0,0,CFD-WF-019-005-N.jpg,NaN,0,White,Female,Black,Female
6,0,0,CFD-WF-019-005-N.jpg,0.828032744000666,1,White,Female,Black,Female
7,0,0,CFD-LM-238-129-N.jpg,0.655721785005881,1,Latino,Male,Black,Female
7,0,0,CFD-LF-211-003-N.jpg,NaN,1,Latino,Female,Black,Female
7,0,0,CFD-WM-214-026-N.jpg,NaN,1,White,Male,Black,Female
7,0,0,CFD-WM-002-009-N.jpg,NaN,1,White,Male,Black,Female
7,0,0,CFD-WM-022-001-N.jpg,NaN,1,White,Male,Black,Female
7,0,0,CFD-LM-238-129-N.jpg,0.532059190998552,1,Latino,Male,Black,Female
7,0,0,CFD-LM-211-128-N.jpg,NaN,1,Latino,Male,Black,Female
7,0,0,CFD-LM-238-129-N.jpg,0.543892174988287,1,Latino,Male,Black,Female
7,0,0,CFD-BF-209-172-N.jpg,NaN,1,Black,Female,Black,Female
7,0,0,CFD-BM-242-233-N.jpg,NaN,1,Black,Male,Black,Female
8,0,0,CFD-WF-024-003-N.jpg,NaN,1,White,Female,Black,Female
8,0,0,CFD-LF-207-198-N.jpg,NaN,1,Latino,Female,Black,Female
8,0,0,CFD-AF-219-106-N.jpg,NaN,1,Asian,Female,Black,Female
8,0,0,CFD-LF-228-125-N.jpg,NaN,1,Latino,Female,Black,Female
8,0,0,CFD-BM-245-164-N.jpg,0.588514888004283,1,Black,Male,Black,Female
8,0,0,CFD-LM-227-103-N.jpg,NaN,1,Latino,Male,Black,Female
8,0,0,CFD-BM-245-164-N.jpg,0.53844674800348,1,Black,Male,Black,Female
8,0,0,CFD-BM-245-164-N.jpg,0.562986591990921,1,Black,Male,Black,Female
8,0,0,CFD-LF-240-199-N.jpg,NaN,1,Latino,Female,Black,Female
8,0,0,CFD-AF-218-157-N.jpg,NaN,1,Asian,Female,Black,Female
9,0,0,CFD-LF-241-188-N.jpg,NaN,1,Latino,Female,Black,Female
9,0,0,CFD-AF-250-200-N.jpg,0.732101138986764,1,Asian,Female,Black,Female
9,0,0,CFD-WF-018-017-N.jpg,NaN,1,White,Female,Black,Female
9,0,0,CFD-AF-250-200-N.jpg,0.659311354000238,1,Asian,Female,Black,Female
9,0,0,CFD-AF-241-141-N.jpg,NaN,1,Asian,Female,Black,Female
9,0,0,CFD-WF-012-002-N.jpg,NaN,1,White,Female,Black,Female
9,0,0,CFD-AF-250-200-N.jpg,0.570990912994603,1,Asian,Female,Black,Female
9,0,0,CFD-AF-233-190-N.jpg,NaN,1,Asian,Female,Black,Female
9,0,0,CFD-AM-205-153-N.jpg,NaN,1,Asian,Male,Black,Female
9,0,0,CFD-AF-234-208-N.jpg,NaN,1,Asian,Female,Black,Female
10,0,0,CFD-WM-229-129-N.jpg,NaN,1,White,Male,Black,Female
10,0,0,CFD-AF-251-093-N.jpg,0.651240740000503,1,Asian,Female,Black,Female
10,0,0,CFD-AF-251-093-N.jpg,0.443252163997386,1,Asian,Female,Black,Female
10,0,0,CFD-WM-214-026-N.jpg,NaN,1,White,Male,Black,Female
10,0,0,CFD-AF-215-70-N.jpg,NaN,1,Asian,Female,Black,Female
10,0,0,CFD-LM-209-111-N.jpg,NaN,1,Latino,Male,Black,Female
10,0,0,CFD-AF-252-135-N.jpg,NaN,1,Asian,Female,Black,Female
10,0,0,CFD-AM-210-035-N.jpg,NaN,1,Asian,Male,Black,Female
10,0,0,CFD-BM-231-155-N.jpg,NaN,1,Black,Male,Black,Female
10,0,0,CFD-AF-251-093-N.jpg,0.66788218698639,1,Asian,Female,Black,Female
11,0,0,CFD-BF-201-080-N.jpg,0.498075183000765,1,Black,Female,Black,Female
11,0,0,CFD-LF-211-003-N.jpg,NaN,1,Latino,Female,Black,Female
11,0,0,CFD-BF-215-177-N.jpg,NaN,1,Black,Female,Black,Female
11,0,0,CFD-AM-252-114-N.jpg,NaN,1,Asian,Male,Black,Female
11,0,0,CFD-BF-201-080-N.jpg,0.579844643987599,1,Black,Female,Black,Female
11,0,0,CFD-BF-201-080-N.jpg,0.507789076000336,1,Black,Female,Black,Female
11,0,0,CFD-WM-034-030-N.jpg,NaN,1,White,Male,Black,Female
11,0,0,CFD-WM-019-003-N.jpg,NaN,1,White,Male,Black,Female
11,0,0,CFD-AF-233-190-N.jpg,NaN,1,Asian,Female,Black,Female
11,0,0,CFD-BF-205-141-N.jpg,NaN,1,Black,Female,Black,Female
12,0,0,CFD-LF-205-100-N.jpg,0.693932617999963,1,Latino,Female,Black,Female
